img1,img2,gt,mask
data/DSIA/train/20037_18_0001/img1.png,data/DSIA/train/20037_18_0001/img2.png,data/DSIA/train/20037_18_0001/img1_warp_gt.png,data/DSIA/train/20037_18_0001/input_mask.png
data/DSIA/train/11761_3_0001/img1.png,data/DSIA/train/11761_3_0001/img2.png,data/DSIA/train/11761_3_0001/img1_warp_gt.png,data/DSIA/train/11761_3_0001/input_mask.png
data/DSIA/train/11574_1_0006/img1.png,data/DSIA/train/11574_1_0006/img2.png,data/DSIA/train/11574_1_0006/img1_warp_gt.png,data/DSIA/train/11574_1_0006/input_mask.png
data/DSIA/train/00372_4_0005/img1.png,data/DSIA/train/00372_4_0005/img2.png,data/DSIA/train/00372_4_0005/img1_warp_gt.png,data/DSIA/train/00372_4_0005/input_mask.png
data/DSIA/train/12630_1_0001/img1.png,data/DSIA/train/12630_1_0001/img2.png,data/DSIA/train/12630_1_0001/img1_warp_gt.png,data/DSIA/train/12630_1_0001/input_mask.png
data/DSIA/train/20729_16_0001/img1.png,data/DSIA/train/20729_16_0001/img2.png,data/DSIA/train/20729_16_0001/img1_warp_gt.png,data/DSIA/train/20729_16_0001/input_mask.png
data/DSIA/train/20665_14_0001/img1.png,data/DSIA/train/20665_14_0001/img2.png,data/DSIA/train/20665_14_0001/img1_warp_gt.png,data/DSIA/train/20665_14_0001/input_mask.png
data/DSIA/train/10754_1_0003/img1.png,data/DSIA/train/10754_1_0003/img2.png,data/DSIA/train/10754_1_0003/img1_warp_gt.png,data/DSIA/train/10754_1_0003/input_mask.png
data/DSIA/train/00454_4_0003/img1.png,data/DSIA/train/00454_4_0003/img2.png,data/DSIA/train/00454_4_0003/img1_warp_gt.png,data/DSIA/train/00454_4_0003/input_mask.png
data/DSIA/train/12183_3_0007/img1.png,data/DSIA/train/12183_3_0007/img2.png,data/DSIA/train/12183_3_0007/img1_warp_gt.png,data/DSIA/train/12183_3_0007/input_mask.png
data/DSIA/train/20543_14_0003/img1.png,data/DSIA/train/20543_14_0003/img2.png,data/DSIA/train/20543_14_0003/img1_warp_gt.png,data/DSIA/train/20543_14_0003/input_mask.png
data/DSIA/train/23064_18_0006/img1.png,data/DSIA/train/23064_18_0006/img2.png,data/DSIA/train/23064_18_0006/img1_warp_gt.png,data/DSIA/train/23064_18_0006/input_mask.png
data/DSIA/train/00009_3_0007/img1.png,data/DSIA/train/00009_3_0007/img2.png,data/DSIA/train/00009_3_0007/img1_warp_gt.png,data/DSIA/train/00009_3_0007/input_mask.png
data/DSIA/train/10130_2_0005/img1.png,data/DSIA/train/10130_2_0005/img2.png,data/DSIA/train/10130_2_0005/img1_warp_gt.png,data/DSIA/train/10130_2_0005/input_mask.png
data/DSIA/train/12338_4_0006/img1.png,data/DSIA/train/12338_4_0006/img2.png,data/DSIA/train/12338_4_0006/img1_warp_gt.png,data/DSIA/train/12338_4_0006/input_mask.png
data/DSIA/train/01013_1_0007/img1.png,data/DSIA/train/01013_1_0007/img2.png,data/DSIA/train/01013_1_0007/img1_warp_gt.png,data/DSIA/train/01013_1_0007/input_mask.png
data/DSIA/train/20450_12_0003/img1.png,data/DSIA/train/20450_12_0003/img2.png,data/DSIA/train/20450_12_0003/img1_warp_gt.png,data/DSIA/train/20450_12_0003/input_mask.png
