img1,img2,gt,mask
data/DSIA/train/00279_2_0007/img1.png,data/DSIA/train/00279_2_0007/img2.png,data/DSIA/train/00279_2_0007/img1_warp_gt.png,data/DSIA/train/00279_2_0007/input_mask.png
data/DSIA/train/10939_4_0006/img1.png,data/DSIA/train/10939_4_0006/img2.png,data/DSIA/train/10939_4_0006/img1_warp_gt.png,data/DSIA/train/10939_4_0006/input_mask.png
data/DSIA/train/22549_12_0001/img1.png,data/DSIA/train/22549_12_0001/img2.png,data/DSIA/train/22549_12_0001/img1_warp_gt.png,data/DSIA/train/22549_12_0001/input_mask.png
data/DSIA/train/00577_4_0007/img1.png,data/DSIA/train/00577_4_0007/img2.png,data/DSIA/train/00577_4_0007/img1_warp_gt.png,data/DSIA/train/00577_4_0007/input_mask.png
data/DSIA/train/00469_2_0002/img1.png,data/DSIA/train/00469_2_0002/img2.png,data/DSIA/train/00469_2_0002/img1_warp_gt.png,data/DSIA/train/00469_2_0002/input_mask.png
data/DSIA/train/00367_3_0007/img1.png,data/DSIA/train/00367_3_0007/img2.png,data/DSIA/train/00367_3_0007/img1_warp_gt.png,data/DSIA/train/00367_3_0007/input_mask.png
data/DSIA/train/01754_1_0001/img1.png,data/DSIA/train/01754_1_0001/img2.png,data/DSIA/train/01754_1_0001/img1_warp_gt.png,data/DSIA/train/01754_1_0001/input_mask.png
data/DSIA/train/22185_19_0003/img1.png,data/DSIA/train/22185_19_0003/img2.png,data/DSIA/train/22185_19_0003/img1_warp_gt.png,data/DSIA/train/22185_19_0003/input_mask.png
data/DSIA/train/01842_4_0002/img1.png,data/DSIA/train/01842_4_0002/img2.png,data/DSIA/train/01842_4_0002/img1_warp_gt.png,data/DSIA/train/01842_4_0002/input_mask.png
data/DSIA/train/00240_4_0001/img1.png,data/DSIA/train/00240_4_0001/img2.png,data/DSIA/train/00240_4_0001/img1_warp_gt.png,data/DSIA/train/00240_4_0001/input_mask.png
data/DSIA/train/20901_11_0002/img1.png,data/DSIA/train/20901_11_0002/img2.png,data/DSIA/train/20901_11_0002/img1_warp_gt.png,data/DSIA/train/20901_11_0002/input_mask.png
data/DSIA/train/20726_19_0007/img1.png,data/DSIA/train/20726_19_0007/img2.png,data/DSIA/train/20726_19_0007/img1_warp_gt.png,data/DSIA/train/20726_19_0007/input_mask.png
data/DSIA/train/10667_3_0001/img1.png,data/DSIA/train/10667_3_0001/img2.png,data/DSIA/train/10667_3_0001/img1_warp_gt.png,data/DSIA/train/10667_3_0001/input_mask.png
data/DSIA/train/21757_12_0005/img1.png,data/DSIA/train/21757_12_0005/img2.png,data/DSIA/train/21757_12_0005/img1_warp_gt.png,data/DSIA/train/21757_12_0005/input_mask.png
data/DSIA/train/22666_11_0007/img1.png,data/DSIA/train/22666_11_0007/img2.png,data/DSIA/train/22666_11_0007/img1_warp_gt.png,data/DSIA/train/22666_11_0007/input_mask.png
